User 411,0.7,1.24,1.01,0.33,1.1,1.74,3.18,2.74,1.57,2.88
User 430,1.02,1.2,0.3,0.38,1.1,1.9,3.17,2.93,1.34,3.42
User 621,0.74,1.32,0.16,0.49,1.22,1.46,3.17,2.7,2.08,2.88
User 663,0.7,0.8,2.56,0.5,1.1,1.5,3.19,2.86,1.47,2.38
User 228,0.67,1.2,1.39,0.41,1.26,1.7,3.18,2.82,1.25,2.82
User 696,0.7,1.32,0.27,0.47,1.78,2.18,3.18,2.95,1.79,2.78
User 572,0.74,1.36,0.21,0.29,0.62,1.48,3.17,2.98,1.18,3.38
User 816,0.93,1.2,1.46,0.58,0.66,2.22,3.18,2.88,1.79,3.02
User 883,0.96,2.96,0.74,0.47,0.96,2.12,3.18,2.86,1.44,2.64
User 108,0.99,1.2,0.38,0.43,0.8,1.1,3.16,2.74,1.15,3.42
User 154,0.64,1.56,0.22,0.57,0.5,2.02,3.18,2.66,1.34,2.78
User 431,0.42,0.88,2.03,0.66,0.64,2.44,3.18,2.95,1.34,3.12
User 881,0.67,1.28,0.35,0.42,0.74,1.88,3.18,2.85,1.82,2.66
User 741,0.9,2.04,1.26,0.64,1.3,2.74,3.18,2.82,1.66,2.5
User 482,0.42,1.36,1.49,0.71,1.06,1.68,3.19,2.86,1.25,2.56
User 505,0.99,1.04,0.35,0.58,0.74,2.22,3.18,2.99,1.5,2.78
User 532,1.12,0.16,0.19,0.69,0.62,1.44,3.18,2.9,1.73,2.46
User 218,0.9,1.2,0.5,0.45,0.64,1.54,3.18,2.71,1.38,2.3
User 14,0.58,1.64,2.27,0.45,1.26,1.72,3.19,2.91,2.3,2.74
User 119,0.54,1.2,1.17,0.45,1.04,1.38,3.18,2.58,1.82,2.94
User 693,0.93,1.28,0.22,0.25,0.46,0.62,3.17,2.98,1.12,3.06
User 190,0.93,0.6,0.18,0.33,0.32,1.1,3.17,2.94,1.28,3.04
User 784,1.01,1.08,0.25,0.3,0.4,0.94,3.17,2.99,1.28,3.18
User 59,0.64,1.2,2.27,0.64,1.42,2.83,3.2,2.79,1.47,2.38
User 245,0.83,1.56,0.22,0.23,0.32,0.88,3.17,2.89,2.4,3.02
User 244,0.74,1.84,1.02,0.41,0.46,1.14,3.18,2.75,2.5,3.12
User 413,0.74,2.72,1.76,0.54,0.98,1.78,3.19,2.66,1.22,2.34
User 565,0.77,1.56,0.24,0.62,0.98,2.1,3.18,2.86,1.66,2.48
User 919,0.93,1.08,0.27,0.27,0.34,1.02,3.17,2.86,1.63,3.36
User 934,0.67,1.12,0.43,0.39,0.62,1.48,3.18,2.98,2.05,2.72
User 864,0.77,1.04,0.27,0.38,1.62,1.78,3.17,2.83,2.59,3.18
User 150,0.77,1.52,1.33,0.51,1.34,2.46,3.18,2.8,1.6,2.54
User 189,1.02,1.04,1.33,0.61,0.86,2.4,3.19,2.89,1.63,2.46
User 949,0.93,2.12,0.27,0.46,1.1,2.56,3.18,2.9,1.89,2.78
User 723,1.09,0.8,0.93,0.71,1.38,2.7,3.18,2.82,1.41,2.62
User 558,0.96,0.88,0.22,0.53,0.42,1.8,3.18,2.74,2.46,2.78
User 551,1.23,1,0.59,0.35,1.02,1.62,3.18,2.85,2.02,2.98
User 307,1.02,1.28,0.77,0.47,1.06,2.48,3.18,2.86,1.73,2.94
User 282,0.51,1.2,1.07,0.49,1.14,2.04,3.18,3.22,1.47,2.82
User 292,1.09,1.16,0.35,0.41,0.66,1.34,3.17,2.72,1.41,3.14
User 8,0.74,1.4,0.22,0.41,0.82,1.5,3.17,2.81,1.54,2.88
User 835,0.7,0.88,2.66,0.5,1.04,1.46,3.19,2.88,1.54,2.4
User 790,0.74,1.24,1.71,0.43,1.58,2.48,3.19,2.78,1.76,2.54
User 54,1.02,0.64,1.12,0.51,0.8,1.82,3.18,2.82,1.5,2.56
User 882,0.38,1.52,0.14,0.39,0.96,1.14,3.17,2.49,1.76,3.2
User 836,1.02,1.44,2.38,0.47,1.26,2.54,3.19,2.74,0.99,2.66
User 415,0.9,1.24,0.34,0.53,0.74,2.78,3.18,2.87,2.05,2.62
User 470,1.09,1.4,0.29,0.48,0.22,2.22,3.17,2.77,1.31,3.22
User 322,1.09,1,0.77,0.43,0.42,1.62,3.18,2.98,2.27,3.36
User 846,0.96,1.44,1.6,0.48,0.88,2.26,3.19,2.87,1.63,2.48
User 867,0.77,1.16,2.19,0.4,1.42,1.78,3.18,2.82,1.22,2.82
User 474,0.72,1.52,0.19,0.85,1.26,1.74,3.18,2.94,1.28,2.74
User 172,1.9,0.4,0.45,0.48,0.7,1.06,3.18,2.98,1.22,2.48
User 773,0.8,0.96,1.18,0.5,0.56,1.5,3.18,3.01,1.86,2.8
User 313,0.38,1.16,1.65,0.45,1.1,1.3,3.18,2.83,1.22,2.62
User 552,1.06,1.04,2.5,0.56,1.78,2.8,3.2,2.72,2.18,2.54
User 953,0.93,2.08,1.26,0.56,0.94,2.56,3.18,2.81,1.63,2.54
User 605,1.22,0.68,1.41,0.91,1.34,2.82,3.19,3.09,2.11,2.5
User 908,0.77,1.64,2.85,0.53,1.04,1.94,3.2,2.95,1.25,2.32
User 775,0.42,1.52,0.29,0.53,0.38,1.52,3.18,2.95,2.88,3.12
User 707,0.8,0.96,0.27,0.55,0.7,1.66,3.18,2.99,1.92,2.7
User 136,0.8,0.96,0.73,0.61,1.1,2.82,3.18,2.99,2.14,2.54
User 703,1.09,2.96,1.79,0.79,1.18,2,3.19,2.66,2.59,2.46
User 67,0.99,1.28,2.32,0.43,0.16,1.06,3.18,2.79,1.09,3.34
User 603,0.67,2.2,2.34,0.61,0.9,2.12,3.19,2.61,1.41,2.46
User 709,1.31,0.2,0.24,0.72,0.46,1.6,3.18,2.86,1.79,2.46
User 483,1.38,1.28,0.22,0.55,0.26,0.9,3.18,2.74,1.31,3.04
User 560,1.06,0.8,0.29,0.35,1.3,2.12,3.18,3.03,1.7,2.94
User 152,0.74,1.64,0.18,0.55,0.94,2,3.18,2.74,1.5,2.98
User 30,0.64,1.16,3.12,0.45,1.84,3.16,3.2,2.75,1.54,2.46
User 657,0.7,1.64,1.07,0.39,1.04,1.54,3.18,2.82,1.47,3.06
User 18,0.61,1.96,2.49,0.66,1.34,1.78,3.2,3.04,1.15,2.42
User 419,0.64,1.24,0.26,0.43,0.9,1.54,3.17,2.89,1.25,3.2
User 528,0.77,1.4,0.16,0.59,0.94,1.94,3.18,3.06,1.41,2.66
User 960,1.41,1.04,0.32,0.62,0.54,2.4,3.18,3.18,1.82,2.66
User 433,0.74,2,1.66,0.49,1.62,1.76,3.18,2.54,1.47,2.42
User 891,0.7,1.4,0.88,0.62,0.98,2.44,3.18,2.74,1.6,2.74
User 857,1.18,0.92,1.52,0.65,1.44,2.22,3.18,2.87,1.34,2.66
User 259,2.22,0.24,1.09,0.48,0.24,1.12,3.18,3.06,1.41,2.72
User 786,0.8,0.84,2.49,0.45,0.74,2.12,3.19,3.1,2.05,2.56
User 366,1.12,2.12,1.62,0.61,0.98,2.02,3.19,2.73,1.28,2.5
User 712,0.54,1.28,0.26,0.61,1.26,2,3.18,2.93,2.43,2.56
User 344,1.25,1.24,2.3,0.49,0.74,2.16,3.2,2.82,1.73,2.42
User 677,0.77,1.16,0.32,0.26,0.5,1.14,3.17,2.89,1.44,3.34
User 126,0.64,1.36,0.19,0.46,0.78,1.58,3.18,2.79,1.31,2.82
User 303,0.74,0.96,2.27,0.61,0.5,1.26,3.19,2.82,1.6,2.56
User 744,1.09,1.2,0.29,0.51,1.18,1.9,3.18,2.66,1.44,2.88
User 130,0.54,1.2,0.45,0.39,0.88,1.66,3.18,2.7,1.57,2.78
User 848,0.9,1.36,0.74,0.62,0.58,1.74,3.18,2.85,1.47,3.2
User 502,2.72,1.96,1.39,0.32,1.06,2.46,3.18,2.86,1.15,2.86
